ID,Filename,Learner ID,Level,Date,Gender,Age,L1,Other L1,Prompt,Subcorpus
0,0.txt,1000,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
1,1.txt,1000,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
2,2.txt,1000,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
3,3.txt,1000,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
4,4.txt,1000,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
5,5.txt,1000,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
6,6.txt,1000,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
7,7.txt,1000,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
8,8.txt,1001,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
9,9.txt,1001,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
10,10.txt,1001,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
11,11.txt,1001,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
12,12.txt,1001,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
13,13.txt,1001,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
14,14.txt,1001,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
15,15.txt,1001,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
16,16.txt,1001,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
17,17.txt,1001,MA 1,02/06/2019,,,Arabic,Hebrew,11,ArCC
18,18.txt,1002,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
19,19.txt,1002,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
20,20.txt,1002,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
21,21.txt,1002,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
22,22.txt,1002,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
23,23.txt,1002,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
24,24.txt,1002,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
25,25.txt,1002,MA 1,02/06/2019,,,Arabic,Hebrew,11,ArCC
26,26.txt,1003,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
27,27.txt,1003,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
28,28.txt,1003,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
29,29.txt,1003,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
30,30.txt,1003,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
31,31.txt,1003,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
32,32.txt,1003,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
33,33.txt,1003,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
34,34.txt,1003,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
35,35.txt,1003,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
36,36.txt,1004,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
37,37.txt,1004,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
38,38.txt,1004,MA 1,02/06/2019,,,Arabic,Hebrew,11,ArCC
39,39.txt,1005,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
40,40.txt,1005,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
41,41.txt,1005,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
42,42.txt,1005,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
43,43.txt,1005,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
44,44.txt,1005,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
45,45.txt,1005,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
46,46.txt,1005,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
47,47.txt,1005,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
48,48.txt,1005,MA 1,02/06/2019,,,Arabic,Hebrew,11,ArCC
49,49.txt,1006,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
50,50.txt,1006,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
51,51.txt,1006,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
52,52.txt,1006,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
53,53.txt,1006,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
54,54.txt,1006,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
55,55.txt,1006,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
56,56.txt,1006,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
57,57.txt,1006,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
58,58.txt,1007,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
